bikes_available,docks_available,is_renting,is_returning,last_updated,station_id,name,latitude,longitude
24,9,true,true,1557211920,296,Division St & Bowery,40.71413089,-73.9970468
12,6,true,true,1557211920,3210,Pershing Field,40.742677141,-74.051788633
11,9,true,true,1557211920,3606,49 Ave & 21 St,40.74252,-73.948852
11,21,true,true,1557211920,467,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923
12,21,true,true,1557211920,467,Dean St & 4 Ave,40.68312489,
29,1,true,true,1557211920,3368,5 Ave & 3 St,40.6728155,-73.98352355
8,6,true,true,1557211920,3281,Leonard Gordon Park,40.74590996631558,-74.0572714805603
0,19,true,true,1557211998,e345651ad60a1a91bd32776f45c97eb2,Howard St at 2nd St,37.787521780456245,-122.39740490913391
0,35,true,true,1557211920,3517,31 St & Hoyt Ave N,40.7711528,-73.9170074
0,16,true,true,1557211999,70efc46e03c990180a35965f9b1ac98c,24th St at Bartlett St,37.752104984423575,-122.41972357034683
5,17,true,true,1557211998,758d57800b70b240ba3d852e4749dc09,22nd St at Dolores St,37.75500026037814,-122.42572769522668
1,22,true,true,1557212000,53caaaa3c38e8f655c479672973ef040,San Jose City Hall,37.337391,-121.886995
0,27,true,true,1557211920,3526,31 St & 23 Ave,40.7747878,-73.9125551
4,15,true,true,1557211998,726e22d3f8e5b2f3b21230c49aa676c8,14th St at Filbert St,37.80874983465997,-122.28328227996825
30,9,true,true,1557211920,3312,1 Ave & E 94 St,40.7817212,-73.94594
2,16,true,true,1557211920,3249,Verona Pl & Fulton St,40.6803560840434,-73.9476791024208
0,19,true,true,1557212000,66d26936d43ac2f677f522354e3ef5a5,Harrison St at 17th St,37.7638471,-122.4130036
2,28,true,true,1557211920,447,8 Ave & W 52 St,40.76370739,-73.9851615
5,15,true,true,1557211998,0512841995dd7840bd165c2297b37672,The Embarcadero at Steuart St,37.791464,-122.391034
18,8,true,true,1557211920,3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276
17,1,true,true,1557211920,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
15,15,true,true,1557211920,307,Canal St & Rutgers St,40.71427487,-73.98990025
16,8,true,true,1557211920,3491,E 118 St & 1 Ave,40.79747,-73.93504
5,18,true,true,1557211999,d436129450e3a2223972a9b3f7134f73,University Ave at Oxford St,37.8723555,-122.2664467
9,14,true,true,1557211998,eb9c95aaf839b9c7e8b18e68288862a3,Berry St at King St,37.771762110313176,-122.39843755960464
18,20,true,true,1557211920,3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842
1,22,true,true,1557211920,3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342
19,17,true,true,1557211920,3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145
1,30,true,true,1557211920,334,W 20 St & 7 Ave,40.74238787,-73.99726235
8,19,true,true,1557211998,0dea2fc1c8cc19369db493d2278fbbbc,Webster St at 19th St,37.80696976095594,-122.26658821105957
16,3,true,true,1557211920,3241,Monroe St & Tompkins Ave,40.686203,-73.944694
3,20,true,true,1557211920,3299,E 98 St & Park Ave,40.78813,-73.95206
42,4,true,true,1557211920,3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667
10,16,true,true,1557211920,3365,3 St & 7 Ave,40.6703837,-73.97839676
27,0,true,true,1557211920,3408,Congress St & Clinton St,40.6881529,-73.99520919
14,17,true,true,1557211999,a7d703c1d843d22ee42adb5e6db291da,23rd St at Tennessee St,37.755367132158526,-122.38879501819609
9,44,true,true,1557211920,3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627
26,19,true,true,1557211920,462,W 22 St & 10 Ave,40.74691959,-74.00451887
7,12,true,true,1557212000,c9ac204340f5d958faa1cc6186b30dc5,Shattuck Ave at Telegraph Ave,37.8332786,-122.2634901
1,48,true,true,1557211920,442,W 27 St & 7 Ave,40.746647,-73.993915
41,28,true,true,1557211920,470,W 20 St & 8 Ave,40.74345335,-74.00004031
7,12,true,true,1557211998,1372941b523f4ca92d4bfee7ea85ac95,4th Ave at E 12th St (Temporary Location),37.795913,-122.255547
25,12,true,true,1557211920,383,Greenwich Ave & Charles St,40.735238,-74.000271
13,6,true,true,1557211998,ca6bfd5cd907c1eb59d33dd8a0c38faa,Valencia St at Cesar Chavez St,37.7479981,-122.4202187
0,0,false,false,1557211920,282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494
